step,time,action,reward,entropy,state,next_state,position
39,4680.0,"[0.0, 0.0, 0.0]",0.0053241507444271655,220.5884829709773,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-75.54138111738321, 68.95039505777575, -32.762401235556055]"
40,4800.0,"[0.0, 0.0, 0.0]",0.0016271648946333173,212.94042508215102,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-83.36292522381703, 89.53511511564788, -27.616221221088026]"
41,4920.0,"[0.0, 0.0, 0.0]",0.0035529207125243496,196.24086170451338,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-89.79139792933817, 111.96580532781034, -22.008548668047407]"
42,5040.0,"[0.0, 0.0, 0.0]",0.0001516067233290604,195.52827443067275,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-94.71937352337365, 135.86762816362946, -16.033092959092635]"
43,5160.0,"[0.0, 0.0, 0.0]",0.0,195.52827443067275,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-98.06450098661827, 160.8411621088907, -9.789709472777316]"
44,5280.0,"[0.0, 0.0, 0.0]",0.0,195.52827443067275,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-99.77088015255381, 186.46907636785383, -3.382730908036533]"
45,5400.0,"[0.0, 0.0, 0.0]",0.0,195.52827443067275,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-99.80999585081176, 212.323104845929, 3.0807762114822537]"
46,5520.0,"[0.0, 0.0, 0.0]",0.0,195.52827443067275,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-98.18119442198143, 237.9712028712854, 9.49280071782136]"
47,5640.0,"[0.0, 0.0, 0.0]",0.0005910994496212473,192.74996792733867,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-94.91169464086211, 262.9847670599724, 15.746191764993103]"
48,5760.0,"[0.0, 0.0, 0.0]",0.0,192.74996792733867,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-90.05613286562061, 286.9457976739459, 21.736449418486483]"
49,5880.0,"[0.0, 0.0, 0.0]",0.0,192.74996792733867,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-83.69565001383266, 309.4538837823863, 27.363470945596582]"
50,6000.0,"[0.0, 0.0, 0.0]",0.0,192.74996792733867,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-75.93653562287984, 330.1328944978187, 32.53322362445467]"
